95,88,99,89,39,88,45,47,83,16
92,52,56,96,57,66,55,30,70,65
38,51,8,97,15,94,8,47,41,85
12,92,11,22,48,88,17,50,2,9
7,78,86,51,9,61,69,61,82,4
18,55,50,78,10,30,92,65,100,69
87,49,52,87,90,33,30,62,65,98
35,31,42,12,41,96,52,5,49,73
100,46,40,92,76,91,3,78,47,91
100,41,58,82,96,41,92,93,8,24
2,51,52,23,49,17,4,32,59,10
75,59,15,30,79,39,73,57,36,65
16,4,77,1,31,17,19,96,51,97
58,79,59,9,48,87,98,78,24,95
60,9,39,71,52,63,80,30,30,82
36,46,82,79,75,35,36,18,42,89
74,70,68,9,97,79,9,94,100,18
16,2,98,67,36,67,45,18,23,9
72,15,21,19,52,36,31,60,74,53
65,12,68,100,58,10,46,20,32,9
16,25,1,47,9,67,87,77,59,59
100,68,58,67,22,72,4,56,68,11
28,81,41,99,50,16,37,69,16,28
84,82,28,23,3,76,80,46,13,40
79,87,30,70,13,67,92,21,92,67
71,88,54,67,67,0,18,99,34,96
68,38,68,55,38,75,10,11,38,24
94,11,94,10,77,84,16,61,83,50
3,67,30,1,72,88,15,17,73,40
72,2,55,15,3,43,44,47,41,20
17,3,32,23,100,71,1,93,57,16
85,94,60,17,47,70,48,7,5,38
78,97,13,73,10,98,57,8,60,96
32,88,75,97,57,7,41,56,28,29
46,23,92,22,87,21,9,71,48,1
76,83,22,75,74,41,39,76,12,57
12,93,71,96,92,78,97,40,13,27
59,99,48,92,95,40,77,64,37,20
71,67,3,53,73,49,70,43,75,33
49,41,74,63,5,11,18,60,90,81
20,67,60,78,36,5,51,19,33,45
76,57,47,79,51,95,16,37,71,62
63,50,58,94,89,76,18,17,91,84
66,83,11,79,81,26,47,87,82,96
27,91,40,35,74,90,84,18,55,50
0,93,6,100,10,7,31,78,51,61
11,78,88,35,73,35,73,12,38,36
18,36,53,80,36,2,33,33,63,54
94,4,4,86,26,70,22,22,12,12
95,75,58,80,69,18,3,87,61,29
77,43,26,44,7,6,92,70,95,26
75,36,78,79,84,84,50,31,96,2
10,6,26,71,61,46,29,24,83,74
66,43,13,12,9,16,8,74,96,24
4,50,96,1,8,1,46,79,30,69
34,24,29,49,96,3,39,20,95,69
86,50,7,84,38,68,82,11,91,20
83,89,3,60,58,1,85,14,71,72
56,18,10,87,48,19,61,4,20,5
16,78,28,45,8,41,57,53,91,21
81,22,41,10,15,32,17,15,87,36
50,4,57,46,60,70,18,1,85,42
40,66,12,63,51,96,18,14,47,56
22,85,6,78,38,37,16,63,67,7
16,41,97,76,21,34,79,6,22,49
59,74,87,60,48,52,70,9,97,7
38,43,99,100,5,75,85,33,5,37
67,29,96,73,32,57,90,4,37,15
75,13,46,66,16,29,16,5,89,42
20,51,5,19,80,90,12,65,38,67
5,50,44,73,12,32,68,66,43,9
23,63,26,89,2,90,23,47,79,87
93,10,25,39,48,47,92,39,24,18
2,91,37,49,8,70,80,7,83,0
86,49,29,33,83,68,79,21,80,86
24,0,0,76,0,48,81,18,43,35
0,50,77,48,74,8,17,37,33,81
39,46,7,80,87,45,59,59,20,23
95,88,79,28,2,65,24,2,46,46
69,11,68,25,38,99,56,13,30,40
86,56,18,32,24,46,98,19,85,37
22,60,55,94,73,13,84,48,3,70
87,37,0,15,42,55,23,76,75,80
20,38,72,15,99,64,78,58,94,29
60,44,9,57,53,3,17,78,26,61
86,60,78,60,21,51,48,15,49,16
78,34,41,95,67,90,67,3,38,41
8,52,51,54,46,95,96,93,37,1
56,69,52,16,75,30,93,65,49,53
44,41,41,57,44,37,73,73,65,62
29,67,7,33,99,43,2,6,78,56
22,48,61,3,50,24,90,73,38,57
65,12,55,92,73,23,31,12,1,26
65,68,2,96,36,78,83,82,84,48
68,43,94,56,64,55,56,39,89,6
7,96,59,16,25,87,80,40,65,63
30,26,82,21,34,96,4,22,83,6
17,57,16,77,82,30,50,12,40,69
35,90,70,67,5,45,36,15,94,72
86,7,53,60,11,91,34,76,23,81
